subject,rel,object,数据名称,服务地址
湘南区域,出露的地层,二叠系下统孤峰组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,二叠系下统茅口组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,二叠系下统栖霞组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,震旦系上统灯影组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,震旦系下统江口组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,南华系天子地组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,白垩系神皇山组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,第三系始新统－古新统,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,第四系,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,寒武系地层,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,锡矿山组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,佘田桥组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,棋梓桥组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,跳马涧组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,石炭系中上统壶天群,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,梓门桥组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,测水组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,石蹬子组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,石炭系下统岩关组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,二叠系上统龙潭组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,二叠系下统孤峰组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,二叠系下统茅口组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,二叠系下统栖霞组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,震旦系上统灯影组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,震旦系下统江口组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,南华系天子地组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,白垩系神皇山组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,第三系始新统－古新统,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,第四系,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,寒武系地层,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,锡矿山组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,佘田桥组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,棋梓桥组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,跳马涧组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,石炭系中上统壶天群,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,梓门桥组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,测水组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,石蹬子组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,石炭系下统岩关组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,二叠系上统龙潭组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,二叠系下统孤峰组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,二叠系下统茅口组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,二叠系下统栖霞组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,震旦系上统灯影组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,震旦系下统江口组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,南华系天子地组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,白垩系神皇山组,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,第三系始新统－古新统,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
湘南区域,出露的地层,第四系,GMWDP_地质图50万-湖南,8183d3db62b84483b3cacfa3e585977d
毛湾矿区,出露的地层,青白口系高涧群架枧田组,毛湾钨矿区地形地质图_经纬度,
毛湾矿区,出露的地层,跳马涧组,毛湾钨矿区地形地质图_经纬度,
毛湾矿区,出露的地层,棋梓桥组,毛湾钨矿区地形地质图_经纬度,
毛湾矿区,出露的地层,佘田桥组,毛湾钨矿区地形地质图_经纬度,
毛湾矿区,出露的地层,锡矿山组,毛湾钨矿区地形地质图_经纬度,
毛湾矿区,出露的地层,第四系,毛湾钨矿区地形地质图_经纬度,
毛湾矿区,出露的岩浆岩,中侏罗世岩前单元,毛湾钨矿区地形地质图_经纬度,
川口花岗岩体群,岩体延续带,塘江源—荒垄,塘江沅地形地质图_经纬度,
毛湾矿区,出露的地层,青白口系高涧群架枧田组,GMWDP_矿体模型_1,202dd82adcc54d60be2517aabd0adc46
毛湾矿区,出露的地层,跳马涧组,GMWDP_矿体模型_1,202dd82adcc54d60be2517aabd0adc46
毛湾矿区,出露的地层,棋梓桥组,GMWDP_矿体模型_1,202dd82adcc54d60be2517aabd0adc46
毛湾矿区,出露的地层,佘田桥组,GMWDP_矿体模型_1,202dd82adcc54d60be2517aabd0adc46
毛湾矿区,出露的地层,锡矿山组,GMWDP_矿体模型_1,202dd82adcc54d60be2517aabd0adc46
毛湾矿区,出露的地层,第四系,GMWDP_矿体模型_1,202dd82adcc54d60be2517aabd0adc46
毛湾矿区,出露的岩浆岩,中侏罗世岩前单元,GMWDP_矿体模型_1,202dd82adcc54d60be2517aabd0adc46
毛湾矿区,东南方向,龙溪水库,GMWDP_湖南省水文地质图1：175万,21b2a1b056b44031a46b2d5aefbad45a
毛湾矿区,水文地质条件,中等,GMWDP_湖南省水文地质图1：175万,21b2a1b056b44031a46b2d5aefbad45a
湘南区域,出露的岩体,川口花岗岩体群,GMWDP_川口区域,9fc9b740061149a9a1329428f28e347b
毛湾矿区微量元素Nb,含量,高,毛湾钨矿区化学测量样点分布,
毛湾矿区微量元素Ta,含量,高,毛湾钨矿区化学测量样点分布,
